ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
SLH;ES;SAO GABRIEL DA PALHA;SAO GABRIEL DA PALHA;Instalado;0;2014-04-05 20:45:44 UTC;0;0;-405326153;RUA VALERIO, SN, STA HELENA, SAO GABRIEL DA PALHA - ES 29780000 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala
SLL;RS;SAO LOURENCO DO SUL;SAO LOURENCO DO SUL;Instalado;2020-08-19 14:53:28 UTC;2021-03-01 20:05:26 UTC;-313675228;-519799881;RUA JULIO DE CASTILHOS, 1902, CENTRO, SAO LOURENCO DO SUL - RS 96170000 ;N„o;Sala, Sala;ANDAR/SLL/01/TX
SLU;ES;CARIACICA;SANTA LUZIA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-20202;-402142;0;N„o;0;0
SLW;MG;RIBEIRAO DAS NEVES;SAO LUIZ;Instalado;2014-04-05 20:45:57 UTC;2021-02-05 18:22:05 UTC;-19799549;-440131504;RUA MARIO ALEXANDRINO DA ROCHA, 65, SAO MIGUEL, RIBEIRAO DAS NEVES - MG 33900450;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUTACAO, Datacom, EST/SLW/NI/NI, Metro, NOVA, T√âRREO - BATERIAS
SMA;MG;JUIZ DE FORA;SAO MATEUS;Instalado;2014-04-05 20:46:04 UTC;2019-10-23 12:06:12 UTC;-217759855;-43355076;RUA SAO MATEUS, 958, SAO MATEUS, JUIZ DE FORA - MG 36025001;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/SMA/NI/NI, Metro, Newbridge, TRANSMISSAO-1 ANDAR, TRANSMISSAO-TERREO
SMF;MG;JUIZ DE FORA;LINDOLFO GOMES;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-214551;-43211;0;N„o;0;0
SMI;MG;BELO HORIZONTE;SUPERMERCADO MINEIRAO;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
SNT;MG;PONTO CHIQUE;SANT ANA;Instalado;2014-04-05 20:45:36 UTC;2014-04-05 20:45:36 UTC;-166313889;-450655556;PRACA SANTANA, SN, CENTRO, PONTO CHIQUE - MG 39328000;N„o;Sala;TRANSMISSAO - TERREO
SOBI;MG;SANTA LUZIA;S√ÉO BENEDITO;Instalado;2022-05-25 15:37:34 UTC;2022-08-10 15:19:57 UTC;-197883786;-439294558;RUA ARAPUA, 177, SAO COSME DE CIMA, SANTA LUZIA - MG 33130392 ;N„o;Sala, Sala;1¬∫ ANDAR - TX, EST/SOBI/NI/NI
SOC1;SP;SOROCABA;OI CENTRO;Instalado;2022-01-11 13:23:27 UTC;2022-09-08 20:20:58 UTC;-2350302;-4746158;PRACA FREI BARAUNA, 46, CENTRO, SOROCABA - SP 18035170 ;N„o;Sala;SALA TX
SOL;CE;SOBRAL;SOBRAL;Instalado;2021-09-15 18:38:52 UTC;2022-01-28 11:41:34 UTC;-36863927;-403501629;BOULEVARD JOAO BARBOSA, 838, CENTRO, SOBRAL - CE 62010190 ;N„o;Sala, Sala;EST/SOL/NI/NI
SPA;MG;DIVINOPOLIS;SAO PAULO;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-20.82;-44532;0;N„o;0;0
SPB;AP;MACAPA;SAO PEDRO DOS BOIS;Instalado;2014-04-05 19:37:20 UTC;2014-04-05 19:37:20 UTC;0.2983333;-509833333;0;N„o;Sala;0
SPCB;SP;SAO JOSE DOS CAMPOS;VTAL BOSQUE DOS IPES;Instalado;2022-11-14 18:00:13 UTC;2023-02-08 17:59:31 UTC;-232583895;-458974301;AVENIDA MARIO FRIGI, 649, RES BOSQUE IPES, SAO JOSE DOS CAMPOS - SP 12236871 ;N„o;Sala;SALA TX
SPS;MG;BELO HORIZONTE;SIMAO PEREIRA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
SQR;RJ;SAQUAREMA;SAQUAREMA I;Instalado;2014-04-05 20:53:13 UTC;2014-04-05 20:53:13 UTC;-229325819;-424971496;RUA FRUTUOSO DE OLIVEIRA, 31, CENTRO, SAQUAREMA - RJ 28990764;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, Datacom, EST/SQR/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, SQR01_CX_ZTX-610_TERREO, SQR02_COMUTACAO_TROPICO RA, SQR02_CX_TROPICO-R_TERREO, TRANSMISSAO-TERREO, TX
SRS;MG;SANTA RITA DO SAPUCAI;SANTA RITA DO SAPUCAI;Instalado;2014-04-05 20:46:02 UTC;2022-03-03 20:20:18 UTC;-222530079;-457034574;PRACA SANTA RITA, 192, CENTRO, SANTA RITA DO SAPUCAI - MG 37536056;N„o;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/SRS/NI/NI, Metro, Newbridge, SRS01_COMUTACAO-TROPICO RA, TRANSMISSSAO - TERREO
SRT;RJ;RIO DE JANEIRO;SANTA RITA;Instalado;2014-04-05 20:53:07 UTC;2018-09-17 18:28:15 UTC;-228991009;-431808641;RUA BENEDITINOS, 23, CENTRO, RIO DE JANEIRO - RJ 20081050;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 10 ANDAR, COMUNICACAO DE DADOS 8 ANDAR, Datacom, ELR-II/ ARCOS-2550/ AXE10 AND, EST/SRT/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, SALA DO SITE RJO005, TRANSMISSAO - 3 ANDAR, TRANSMISSAO 10 ANDAR(1000,3), TRANSMISS√ÉO - 10¬∞AND, TX
SSJ;SC;SAO JOSE;S√ÉO JOSE;Instalado;2023-04-22 12:41:03 UTC;2023-04-22 12:48:01 UTC;-276082398;-486273781;RUA DR CONSTANCIO KRUMMEL, 2277, PRAIA COMPRIDA, SAO JOSE - SC 88103600 ;N„o;Sala;TRANSMISSAO
STA;CE;ARARENDA;SANTO ANTONIO;Instalado;2014-04-05 19:37:09 UTC;2014-04-05 19:37:09 UTC;-47133333;-406744444;0;N„o;Sala, Sala;QXA02_COMUTACAO_ELR-AXE, TRANSMISSAO-TERREO
STD;TO;SANTA ROSA DO TOCANTINS;STD;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-114488889;-481205556;0;N„o;Sala, Sala;ANDAR/STD/TT/01, ANDAR/STD/TT/TX
